ACCELEROMETER X,ACCELEROMETER Y,ACCELEROMETER Z,GRAVITY X,GRAVITY Y,GRAVITY Z,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,LIGHT,MAGNETIC FIELD X,MAGNETIC FIELD Y,MAGNETIC FIELD Z,ORIENTATION Z,ORIENTATION X,ORIENTATION Y,PROXIMITY,ATMOSPHERIC PRESSURE,SOUND LEVEL,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude,LOCATION Altitude-google,LOCATION Altitude-atmospheric pressure,LOCATION Speed,LOCATION Accuracy,LOCATION ORIENTATION,Satellites in range,Time,YYYY-MO-DD HH-MI-SS_SSS
-0.1507,2.3521,9.0281,-1.3193,1.9617,9.5174,0.0849,0.5686,-0.7607,-0.7094,2.0057,-0.2944,4848,-20.84,4.91,9.22,83.08,-16.18,-2.99,3.1,983.27,48.01,42.498104,-83.44128,794.74,NaN,,0,27.664516,,14 / 18,19,2018-07-24 13:15:23:607
1.1222,0.256,7.5087,5.0119,2.1785,8.1428,-3.6879,-1.7579,2.1964,-1.1028,-4.2549,0.9273,5126,-27.35,20.55,10.94,53.17,-12.84,-31.61,3.1,983.26,47.497,42.498104,-83.44128,794.74,NaN,,0,27.664516,,14 / 18,519,2018-07-24 13:15:24:107
-0.1842,5.6136,8.8893,1.0359,3.4558,9.1189,-1.2726,0.934,1.1266,0.0617,0.5348,0.7036,3071,-40.26,3.94,4.82,82.16,-21.71,-14.05,3.1,983.23,49.659,42.498104,-83.44128,794.74,NaN,,0,27.664516,,14 / 18,1018,2018-07-24 13:15:24:606
-0.6532,3.2064,9.3416,-0.611,3.1028,9.2828,-0.0032,0.0038,0.007,2.00E-04,0.0017,0,2466,-23.01,12.38,-22.67,53.4,-18.42,3.75,3.1,983.29,51.387,42.498104,-83.44128,794.74,NaN,,0,27.664516,,14 / 18,1518,2018-07-24 13:15:25:106
-0.6413,3.1657,9.4301,-0.6136,3.1054,9.2817,0.0012,0.0077,0.0319,7.00E-04,0.0013,2.00E-04,3780,-22.97,13.28,-23.36,52,-18.46,3.78,3.1,983.29,51.475,42.498104,-83.44128,794.74,NaN,,0,27.664516,,14 / 18,2018,2018-07-24 13:15:25:606
-0.6437,3.1633,9.478,-0.616,3.1109,9.2797,-0.0082,-0.002,0.0048,-2.00E-04,7.00E-04,4.00E-04,3791,-23.73,11.89,-22.75,54.52,-18.49,3.8,3.1,983.28,50.922,42.498104,-83.44128,794.74,914.0059719,,0,27.664516,,15 / 18,2518,2018-07-24 13:15:26:106
-0.6293,3.1753,9.4588,-0.6139,3.1075,9.281,0.0041,-0.0206,0.0148,-2.00E-04,7.00E-04,2.00E-04,3788,-23.68,12.12,-21.8,54.91,-18.49,3.78,3.1,983.27,52.68,42.498104,-83.44128,794.74,914.0059719,,0,27.664516,,15 / 18,3019,2018-07-24 13:15:26:607
-0.6843,3.1872,9.3703,-0.6174,3.1116,9.2794,0.0103,-0.0177,-0.0158,-6.00E-04,0.0021,6.00E-04,3777,-23.25,12.24,-19.51,54.64,-18.5,3.81,3.1,983.29,51.917,42.498104,-83.44128,794.74,914.0059719,,0,27.664516,,15 / 18,3518,2018-07-24 13:15:27:106
-0.7011,3.685,9.5785,-0.6482,3.3103,9.2083,-0.0587,0.3184,-0.1265,0.0021,-0.0014,0.0041,3777,-23.31,14.4,-19.89,51.61,-19.24,3.94,3.1,983.28,53.351,42.498104,-83.44128,794.74,914.0059719,,0,27.664516,,15 / 18,4018,2018-07-24 13:15:27:606
-0.7394,3.6945,9.2602,-0.7026,3.5932,9.0975,0.0041,-0.0733,0.035,-0.0054,0.0066,0.0141,3769,-22.72,11.99,-19.32,54.42,-21.42,4.39,3.1,983.29,52.178,42.498104,-83.44128,794.74,914.0059719,,0,27.664516,,15 / 18,4518,2018-07-24 13:15:28:106
-0.6006,3.1298,9.5139,-0.6676,3.3813,9.181,0.0668,-0.3394,0.0769,-4.00E-04,-2.00E-04,0.0127,3784,-21.76,12.92,-22.44,51.62,-20.67,4.3,3.1,983.27,51.238,42.498104,-83.44128,794.74,914.0059719,,0,27.664516,,15 / 18,5018,2018-07-24 13:15:28:606
-0.5838,2.9934,9.3846,-0.6341,3.1567,9.263,0.0535,-0.173,0.0322,-8.00E-04,-2.00E-04,0.0094,3784,-21.87,12.34,-19.89,53.42,-18.78,3.92,3.1,983.29,51.508,42.498104,-83.44127,793.53,914.0059719,,1.26,10.374194,97.8,15 / 18,5519,2018-07-24 13:15:29:107
-0.6293,3.0413,9.466,-0.6169,3.0348,9.3048,0.0168,-0.0435,0.0103,0.0023,-4.00E-04,0.0025,3785,-22.59,12.62,-19.61,54.32,-18.08,3.82,3.1,983.28,54.971,42.498104,-83.44127,793.53,914.0059719,,1.26,10.374194,97.8,15 / 18,6018,2018-07-24 13:15:29:606
-0.6939,3.125,9.2578,-0.6111,3.0239,9.3088,0.013,0.0803,0.0312,0.0035,-0.0065,-0.0036,3799,-20.88,11.81,-21.16,51.99,-17.96,3.76,3.1,983.29,51.367,42.498104,-83.44127,793.53,914.0059719,,1.26,10.374194,97.8,15 / 18,6519,2018-07-24 13:15:30:107
-0.6748,3.338,9.454,-0.6213,3.1646,9.2612,-0.0151,0.1136,-0.0084,7.00E-04,3.00E-04,-0.0103,3795,-21.78,12.42,-19.82,53.4,-18.65,3.79,3.1,983.27,50.95,42.498104,-83.44127,793.53,914.0059719,,1.26,10.374194,97.8,15 / 18,7018,2018-07-24 13:15:30:606
-0.6604,3.3212,9.4875,-0.6293,3.2241,9.2401,-0.0158,0.0242,0.0045,0,-0.0044,-0.0156,3803,-20.12,12.37,-20.8,50.26,-19.19,3.9,3.1,983.28,52,42.498104,-83.44126,796.21,914.0059719,,1.55,10.374194,96.9,15 / 18,7518,2018-07-24 13:15:31:106
-0.5838,3.216,9.5809,-0.6207,3.1747,9.2578,-0.0229,-0.0129,0.0111,9.00E-04,-0.0042,-0.0183,3803,-21.02,11.46,-21.25,53.6,-18.92,3.81,3.1,983.28,56.063,42.498104,-83.44126,796.21,914.0059719,,1.55,10.374194,96.9,15 / 18,8018,2018-07-24 13:15:31:606
-0.6461,3.0269,9.3583,-0.6035,3.1052,9.2825,0.0177,-0.1343,0.0209,0.0053,-0.0152,-0.0226,3874,-21.38,9.98,-21.38,54.89,-18.46,3.72,3.1,983.29,52.288,42.498104,-83.44126,796.21,914.0059719,,1.55,10.374194,96.9,14 / 18,8519,2018-07-24 13:15:32:107
-0.5695,3.1394,9.5378,-0.5977,3.0321,9.307,0.0083,0.0952,-0.0237,0.0061,-0.0079,-0.024,3889,-22.45,10.77,-19.11,55.61,-17.93,3.7,3.1,983.26,51.526,42.498104,-83.44126,796.21,914.0059719,,1.55,10.374194,96.9,14 / 18,9019,2018-07-24 13:15:32:607
-0.6461,3.7184,9.2363,-0.6182,3.2945,9.216,-0.0457,0.3555,-0.1386,0.0031,-0.013,-0.0362,3885,-21.35,9.45,-19.62,56.58,-19.63,3.84,3.1,983.27,51.793,42.498104,-83.44125,803.19,914.0059719,,1.66,10.374194,95.2,14 / 18,9518,2018-07-24 13:15:33:106
